Unnamed: 0,Date,Open,High,Low,Close,Adj Close,Volume,Sentiment,Predicted_Close
476,2012-05-17,5.86,5.958,5.648,5.714,5.714,5745000,0,5.877421359440632
477,2012-05-18,5.674,5.692,5.366,5.512,5.512,8082500,0,5.795826038889686
478,2012-05-21,5.516,5.852,5.424,5.754,5.754,7376000,0,5.6605990114804285
479,2012-05-22,6.02,6.268,6.0,6.16,6.16,11831000,0,5.830646402208458
480,2012-05-23,6.112,6.21,5.9,6.204,6.204,6102000,0,6.233450630788752
481,2012-05-24,6.25,6.25,5.938,6.056,6.056,5378000,0,6.412098770504372
482,2012-05-25,6.032,6.082,5.84,5.962,5.962,3785000,0,6.303851562276179
483,2012-05-29,6.002,6.386,6.002,6.338,6.338,8250000,0,6.121581270040707
484,2012-05-30,6.216,6.284,6.048,6.082,6.082,6536000,0,6.328655108749842
485,2012-05-31,6.014,6.058,5.75,5.9,5.9,5593500,0,6.226966530598844
486,2012-06-01,5.706,5.832,5.552,5.63,5.63,4429000,0,6.055294388328946
487,2012-06-04,5.606,5.682,5.422,5.576,5.576,5154500,0,5.7754793796730155
488,2012-06-05,5.568,5.678,5.512,5.582,5.582,3154500,0,5.658482362682804
489,2012-06-06,5.64,5.89,5.628,5.844,5.844,4549500,0,5.670362426708948
490,2012-06-07,5.962,5.974,5.77,5.786,5.786,2460500,0,5.9265812730644996
